"DOCUMENT"
"TID","UA"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","ПІВФІНАЛ"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","ФІНАЛ"
"TID_CC_POPUP_QUALIFY_INFO","Пройди випробування, щоб перейти на наступний етап чемпіонату Brawl Stars!"
"TID_CC_POPUP_QUALIFY_INFO_PSG","Виграй випробування, щоб отримати скін Шеллі PSG!"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","Випробування пройдено!"
"TID_CC_POPUP_CHALLENGE_OVER","ВИПРОБУВАННЯ ЗАВЕРШЕНО"
"TID_CC_POPUP_OUT_OF_LIVES","СПРОБ НЕ ЗАЛИШИЛОСЯ"
"TID_CC_POPUP_BUY_LIVES","КУПИТИ ЩЕ <NUM>?"
"TID_CC_POPUP_COMPLETED","ВИПРОБУВАННЯ ПРОЙДЕНО"
"TID_CC_POPUP_LEVEL","<LEVEL>-ИЙ ЕТАП"
"TID_CC_POPUP_WIN","ПЕРЕМОГА"
"TID_CC_POPUP_LOSSES","ПОРАЗКИ"
"TID_QUALIFIED_TITLE","Онлайн-етап РОЗБЛОКОВАНО!"
"TID_QUALIFIED_INFO","Ого, тобі вдалося пройти випробування чемпіонату! НЕЙМОВІРНО!\n\nЩоб продовжити шлях до ЧЕМПІОНАТУ BRAWL STARS, перейди за посиланням <cFFE400><URL></c>"
"TID_QUALIFIED_INFO_HUB","Ого, тобі вдалося пройти випробування чемпіонату! НЕЙМОВІРНО!\n\nЩоб продовжити шлях до ЧЕМПІОНАТУ BRAWL STARS, відвідай новий розділ «КІБЕРСПОРТ», який знаходиться на головному екрані!"
"TID_QUALIFIED_INFO_PSG","Вітаємо з перемогою в Кубку PSG! Відкрито скін Шеллі PSG."
"TID_QUALIFIED_GO","ВПЕРЕД!"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","ВИПРОБУВАННЯ ЧЕМПІОНАТУ"
"TID_BATTLE_END_CC_WIN_LABEL","НАГОРОДА ЗА <AMOUNT>-У ПЕРЕМОГУ"
"TID_BATTLE_END_CC_DEFEAT_0","Випробування завершено.\nУдачі наступного разу!"
"TID_BATTLE_END_CC_DEFEAT_1","Ще одна поразка, і ти вибуваєш. Зберися!"
"TID_BATTLE_END_CC_DEFEAT_2","Поразка... Але в тебе ще є шанс!"
"TID_BATTLE_END_CC_DRAW_DESC","Зіграй ще раз і постарайся перемогти!"
"TID_BATTLE_END_CC_QUALIFY_LABEL","ЕТАП ПРОЙДЕНО!"
"TID_BATTLE_END_CC_QUALIFY_INFO","Вітаємо! Ти переходиш на наступний етап чемпіонату Brawl Stars.\nДодаткова інформація у вхідних повідомленнях."
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","Нагорода ліги СИЛОВОЇ ГОНКИ"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","Нагорода\nза очки"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","Місце"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","Очки"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","Додаткова нагорода за досягнення\nвершини світового списку лідерів"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","НАГОРОДА КІНЦЯ ЛІГИ СИЛОВОЇ ГОНКИ"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","ТАБЛИЦЯ ЛІГИ"
"TID_PRO_LEAGUE_SEASON_END_TIME","ДО КІНЦЯ ЛІГИ"
"TID_PRO_LEAGUE_POPUP_TITLE","СИЛОВА ГОНКА"
"TID_EVENT_LABEL_PRO_LEAGUE","СИЛОВА ГОНКА"
"TID_PRO_LEAGUE_POPUP_INFO","Випробуй себе в СИЛОВІЙ ГОНЦІ! Бийся в 3 боях щодня і просувайся до вершини таблиці ліги. Наприкінці ліги ти отримаєш зіркові очки за набрані в сезоні очки та місце у світовій таблиці ліги."
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","ПОТОЧНА ЛІГА"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","ПОПЕРЕДНЯ ЛІГА"
"TID_PRO_LEAGUE_LABEL","СИЛОВА ГОНКА"
"TID_TEAM_ERROR_38","Вибери бійця з 10-м рівнем сили!"
"TID_TEAM_ERROR_39","Усі ігри СИЛОВОЇ ГОНКИ на сьогодні проведено!"
"TID_PRO_LEAGUE_GAMES","ЗАЛИШИЛОСЯ БОЇВ: <GAMESLEFT>/<MAXGAMES>"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","КІНЕЦЬ ЛІГИ СИЛОВОЇ ГОНКИ"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","Твої очки"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","Твоє місце"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","Зіркові очки"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","НАГОРОДА СИЛОВОЇ ГОНКИ: <AMOUNT> <cff00ff>зіркових очок!</c>"
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","Епічна перемога (+3 очки):"
"TID_OVERWHELMING_VICTORY_GMV_0","переможи до того, як з’явиться 15-й кристал."
"TID_OVERWHELMING_VICTORY_GMV_5","переможи з рахунком 2:0."
"TID_OVERWHELMING_VICTORY_GMV_2","зберігай не менше 60 % очок здоров’я свого сейфа."
"TID_OVERWHELMING_VICTORY_GMV_11","зберігай не менше 80 % очок здоров’я своєї бази."
"TID_OVERWHELMING_VICTORY_GMV_3","набери щонайменше на 10 зірок більше, ніж противник."
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","Отримуй очки за місце за підсумками бою."
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","30 очок за перемогу, 15 очок за нічию і 5 втішних очок за поразку."
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","ОЧКИ"
"TID_DOUBLE_TOKEN_WEEKEND","ПОДВІЙНИЙ ДОСВІД"
"TID_COIN_SHOWER_EVENT","ЛАВИНА МОНЕТ"
"TID_CHROMA_CREDITS_SHOWER_EVENT","ХРОМАЛАВИНА"
"TID_MASTERY_POINTS_BOOST_EVENT","МАЙСТЕРНІСТЬ БЕЗ МЕЖ"
"TID_SKINS_TITLE","СКІНИ"
"TID_SKINS_BUTTON_LABEL","СКІНИ"
"TID_SKIN_PREVIEW","ПОПЕРЕДНІЙ ПЕРЕГЛЯД СКІНУ"
"TID_DEFAULT_SKIN","<HERO>: СТАНДАРТНИЙ СКІН"
"TID_HERO_LVL_UP_MATERIAL","монети"
"TID_TOKENS","жетони"
"TID_FIRST_WINS","зіркові жетони"
"TID_CLUB_COINS","Монети клубу"
"TID_BUTTON_INBOX","ВХІДНІ"
"TID_INBOX_TITLE","ВХІДНІ"
"TID_INBOX_SYSTEM_SENDER","Система"
"TID_INBOX_SUPPORT_SENDER","Служба підтримки Brawl Stars"
"TID_INBOX_BRAWLSTARS_SENDER","Brawl Stars"
"TID_INBOX_AGE","<TIME> тому"
"TID_INBOX_CLAIM","ЗАБРАТИ"
"TID_INBOX_VIEW","ДИВИТИСЯ"
"TID_INBOX_TAB_0","КЛУБ"
"TID_INBOX_TAB_1","ОСОБИСТІ"
"TID_INBOX_NO_ENTRIES","НІЧОГО НЕМАЄ"
"TID_INBOX_CAPTION_101","ВИ ОТРИМУЄТЕ ПОКРАЩЕННЯ ДО BRAWL PASS PLUS"
"TID_INBOX_CAPTION_100","ВИ ОТРИМУЄТЕ BRAWL PASS PLUS"
"TID_INBOX_CAPTION_99","Трофейна ліга закінчилася."
"TID_INBOX_CAPTION_94","Ви отримуєте скін: <NAME>"
"TID_INBOX_CAPTION_93","Ви отримуєте бійця: <NAME>"
"TID_INBOX_CAPTION_93_WITH_LEVEL","Ви отримуєте бійця: <NAME> (<LEVEL>-й рівень сили)"
"TID_INBOX_CAPTION_92","Ви отримуєте очки сили (<AMOUNT>) для бійця <NAME>"
"TID_INBOX_CAPTION_91","Ви отримуєте квитки (<AMOUNT>)"
"TID_INBOX_CAPTION_90","Ви отримуєте <NAME> (<AMOUNT>)"
"TID_INBOX_CAPTION_89","Ви отримуєте кристали (<AMOUNT>)"
"TID_INBOX_CAPTION_88","Ви отримуєте подвоювачі досвіду (<AMOUNT>)"
"TID_INBOX_CAPTION_85","Списано кристали (<AMOUNT>)"
"TID_INBOX_CAPTION_84_4","Ви отримуєте зіркову силу «<ABI>» для бійця <NAME>"
"TID_INBOX_CAPTION_84_5","Ви отримуєте гаджет «<ABI>» для бійця <NAME>"
"TID_INBOX_CAPTION_84_6","Ви отримуєте гіперзаряд «<ABI>» для бійця <NAME>"
"TID_INBOX_CAPTION_78","Нові ранги для бійців: 21-30!"
"TID_INBOX_CAPTION_76","Онлайн-етап РОЗБЛОКОВАНО!"
"TID_INBOX_CAPTION_75","Нагорода за перемогу у випробуванні «<CHALLENGE>»:\n<NAME>"
"TID_INBOX_CAPTION_74","Компенсація за квитки"
"TID_INBOX_CAPTION_73","ВИ ОТРИМУЄТЕ BRAWL PASS"
"TID_INBOX_CAPTION_72_52","ВИ ОТРИМУЄТЕ ЗНАЧОК"
"TID_INBOX_CAPTION_71","ВИ ОТРИМУЄТЕ ЖЕТОНИ (<AMOUNT>) ДЛЯ СЕЗОНУ BRAWL PASS «<SEASON>»"
"TID_INBOX_CAPTION_70","<CHALLENGE>, нагорода за перемогу:"
"TID_INBOX_CAPTION_64","Ви отримуєте <NAME> (<AMOUNT>)"
"TID_INBOX_CAPTION_DONATION","ВИ ОТРИМУЄТЕ: <TEXT>"
"TID_INBOX_NEW","НОВЕ!"
"TID_BAND_MAIL_POPUP_TITLE","КЛУБ"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","Напиши повідомлення..."
"TID_BAND_MAIL_POPUP_POST","ВІДПРАВИТИ"
"TID_BAND_MAIL_POPUP_NO_MSG","Спочатку напиши повідомлення"
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","Недоступно для демонстраційних облікових записів."
"TID_REVOKE_TITLE","Повідомлення служби підтримки"
"TID_REVOKE_OK","Зрозуміло"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Не можна надіслати запит на вступ. Ти вже в команді."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Не можна надіслати запит на вступ.\nСпочатку розглянь запрошення до команди."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Не можна надіслати запит на вступ. Інший твій запит очікує розгляду."
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Запит на вступ скасовано."
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","Я ХОЧУ ВСТУПИТИ ДО ВАШОЇ КОМАНДИ"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>ПЕРЕМОГА</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>ПОРАЗКА</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>НІЧИЯ</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>МІСЦЕ: <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>МІСЦЕ: <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>МІСЦЕ: <RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME> тому"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","РІВ."
"TID_BATTLE_LOG_TVST_VERSUS","ПРОТИ"
"TID_BATTLE_LOG_TITLE","ДАНІ БОЮ"
"TID_BATTLE_LOG_REPLAY","ПОВТОР"
"TID_BATTLE_LOG_MVP","ЗІРКОВИЙ ГРАВЕЦЬ"
"TID_BATTLE_LOG_FRIENDLY","ДРУЖНІЙ"
"TID_BATTLE_LOG_TOURNAMENT","ТУРНІР"
"TID_BATTLE_LOG_PVP","РАНКОВИЙ"
"TID_BATTLE_LOG_PRO_LEAGUE","СИЛОВА ГОНКА"
"TID_BATTLE_LOG_RANKED","РАНКОВИЙ БІЙ"
"TID_BATTLE_LOG_NO_ENTRIES","НЕМАЄ ЗАПИСІВ"
"TID_BATTLE_LOG_THIS_IS_A_BOT","Це бот"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Повтори зараз відключені"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Повтор ще не доступний"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","Повтор недоступний: у бійця занадто мало трофеїв"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","Набери <NUM> трофеїв бійця, щоб розблокувати можливість повторів"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","Повтор недоступний: помилка запису"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Повтор більше не доступний"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Не вдалося додати друга"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Термін дії посилання для запрошення друга минув!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Не вдалося додати друга, список друзів користувача переповнений!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Не вдалося додати друга, твій список друзів переповнений!"
"TID_ADD_FRIEND_FAILED_BANNED","Не вдалося додати друга, користувач заблокований!"
"TID_KEYPOOL_KEYS_REMAINING","Ще <VALUE>"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> жетонів через <TIME>"
"TID_TOP_HUD_NEXT_REWARD","Наступна нагорода"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Альтернативна нагорода"
"TID_RANK_UP_REWARD_REPLACED_POWER","Жоден боєць не може бути обраний для отримання <AMOUNT> очок сили.\n\nВізьмеш замість цього альтернативну нагороду?"
"TID_RANK_UP_REWARD_REPLACED_HERO","У тебе вже є <NAME>, тому ти отримаєш альтернативну нагороду."
"TID_RANK_UP_REWARD_REPLACED_PIN","У тебе вже є цей значок, тому ти отримаєш альтернативну нагороду."
"TID_RANK_UP_REWARD_REPLACED_SKIN","У тебе вже є <NAME>, тому ти отримаєш альтернативну нагороду."
"TID_RANK_UP_REWARD_REPLACED_GEN","У тебе вже є ця нагорода, тому ти отримаєш замість неї іншу."
"TID_RANK_UP_REWARD_REPLACED_POWER_POINTS","Досягнуто максимальну кількість очок сили, і жоден із твоїх бійців не може отримати <AMOUNT> очок сили.\n\nЗабрати альтернативну нагороду?"
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","ДОДАТИ В ДРУЗІ"
"TID_PLAYER_INFO_REMOVE_FRIEND","ВИДАЛИТИ ЗІ СПИСКУ ДРУЗІВ"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","ЗАПИТ ВІДПРАВЛЕНО"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","ДРУГ\nВ ГРІ"
"TID_POWER_POINTS","ОЧКИ СИЛИ"
"TID_HERO_INFO_LEVEL","СИЛА"
"TID_HERO_INFO_LEVEL_LONG","РІВЕНЬ СИЛИ"
"TID_HERO_INFO_RANK","РІВЕНЬ"
"TID_HERO_TIER_MAX","МАКС."
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","ПІДВИЩИТИ РІВЕНЬ СИЛИ ДО <LVL>-ГО"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","НАТИСНИ ЗНОВУ ДЛЯ ПІДТВЕРДЖЕННЯ"
"TID_HERO_INFO_MAX_LEVEL","МАКСИМАЛЬНА СИЛА"
"TID_HERO_INFO_MORE_POWER_NEEDED","Збери більше очок сили, щоб покращити!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","У бійця не вистачає очок сили!"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","У тебе не вистачає монет!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","Боєць досяг максимального рівня сили!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","ПОЧАТКОВИЙ БОЄЦЬ"
"TID_HERO_INFO_STAR_POWER_EQUIP","ВИБРАТИ"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","ВИБРАНО"
"TID_CHOOSE_CHARACTER","ВИБЕРИ БІЙЦЯ"
"TID_ARMOR","ЗДОРОВ’Я"
"TID_ARMOR_DESC","Відображає кількість шкоди, яку може витримати боєць."
"TID_SHOTGUN_GIRL","ШЕЛЛІ"
"TID_SHOTGUN_GIRL_DESC","Шеллі — ідеальний рейнджер. Вона відповідальна, витривала і неперевершено вправляється з рушницею, і їй незрозуміло, як Кольт перетягнув усю увагу на себе..."
"TID_LONG_RANGE_SHOTGUN","КАРТЕЧ"
"TID_LONG_RANGE_SHOTGUN_DESC","Громобій Шеллі випускає сніп куль на середню дистанцію. Чим більше куль досягає цілі, тим більше шкоди."
"TID_MEGA_BLASH_ULTI","СУПЕРОБСТРІЛ"
"TID_MEGA_BLASH_ULTI_DESC","Суперобстріл Шеллі зносить і укриття, і ворогів. Тих, хто вижив, відкидає назад."
"TID_GUNSLINGER","КОЛЬТ"
"TID_GUNSLINGER_DESC","Кольт — справжня зірка парку Старр! Його стиль, чарівність і трюки з пістолетами підкорять будь-кого (крім Шеллі)."
"TID_RAPID_FIRE","ПОВНА ОБОЙМА"
"TID_RAPID_FIRE_DESC","Кольт робить шість пострілів великої дальності з револьверів."
"TID_RAPID_FIRE_ULTI","КУЛЬОВИЙ ШТОРМ"
"TID_RAPID_FIRE_ULTI_DESC","Кулі з револьверів Кольта покривають величезну відстань і знищують укриття."
"TID_BULL_DUDE","БУЛЛ"
"TID_BULL_DUDE_DESC","Булл уже не такий відчайдушний, як у молодості, але це ще не означає, що він не наваляє будь-кому, хто явно напрошується."
"TID_SHOTGUN_BLAST","ДВОСТВОЛКА"
